1	道路整備は非常に大切だと思います。
1	生活の利便、防災などの必要性から道路の更なる整備が必要であり、その取り組みの仕方について区の考え方は当然だと思う。
1	道路は造ってもなかなかこれで良いはない問題。でもずいぶん良くなってきたと思います。
1	未完成の都市計画道路などが整備されれば、区民の利便性は格段に向上するだろうから、実現に大いに期待する。また、建設物としての物理的道路そのものだけでなく、運用ソフトも大事な道路の活かし方を左右する。道路管理者はこういったことも念頭に置いて、整備と規制の両面で快適な道路環境を保持していってほしい。
1	世田谷区は、もともと東京の農業地域であり、都市化とともに道路の整備が遅れ、いまだに未整備の地域が多いのは、歴史的経緯からみてやむを得ないと思う。
1	人口が多く、交通量の多い世田谷では、道路整備が非常に重要な課題と思う。
1	区内では抜け道となっていて常に交通量が多く、歩行者、自転車、車、バスなどが行き来している危ない箇所も多くあるので整備を進めてほしい。
1	安全や防災のための道路整備は大切なことだと思う。
1	考え方なんてどうでもいいです。結果を出せば良識ある区民ならば文句を言わないはずです。大変な仕事ではあると思いますが、区民生活のために頑張って頂きたいです。
1	理由はなんでもよいので道路整備を進めてほしい。世田谷区の整備率は低すぎる。ぜひとも早急にご対応をお願いしたい。
1	数十年前の道路都市計画も全く進んでいないのが現状のように思う。
1	道路づくりは街づくりの基本だと思う。世田谷区は行き止まり道路が多いといわれているそうだが、あまりにも箱庭的な小さい現状で将来的ではないと感じている。
1	必要な道路は、どんどん進めて欲しい。多くの人が危険と感じている道路があればなるべく早く解決して欲しいです。
1	車を利用してどこでも行けるような道路づくりを望む。
1	明薬通りのような道路整備を希望します。
1	区の道路の最大の問題は、「狭小な道路幅員」と「非直線性」にあると考える。
1	区内は狭あいな道路が多く、現在の交通状況などを考えると、区の道路整備は厳しい状況にあると思う。計画・調整・実行など大変かと思うが期待している。
1	今後の道路整備の向上に期待しております。道路整備は必要だと思います。難しいこともあるとは思いますが住民が納得の上で整備が進めば何よりだと思っております。大変なこともあるでしょうがよろしくお願いします。
1	家の周辺にもバス通りにもかかわらずとても狭くて通行するのに困難で危険な道路がありますので早く道路の新設や拡幅計画を進めていただければと思います。
1	今以上に道路環境の整備が急務であり、今後の区の活動に関心を持っている。
